canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,3,3,3,5	6,6,3,3,3,5	26	6	6	3	3	3	5	0	16496	3136	51731456	0	0	0	UNSAT	0.241537
6,6,3,3,3,5	6,6,3,3,5,3	26	6	6	3	3	5	3	0	16496	3136	51731456	0	0	0	UNSAT	0.269670
6,6,3,3,4,4	6,6,4,4,3,3	26	6	6	4	4	3	3	0	16496	3136	51731456	0	0	0	UNSAT	0.238047
6,6,3,4,3,4	6,6,3,4,3,4	26	6	6	3	4	3	4	1	10132	3920	39717440	0	0	0	UNSAT	0.233735
6,6,3,4,3,4	6,6,4,3,4,3	26	6	6	4	3	4	3	1	10132	3920	39717440	0	0	0	UNSAT	0.198645
6,6,3,4,4,3	6,6,3,4,4,3	26	6	6	3	4	4	3	0	16496	3920	64664320	0	0	0	UNSAT	0.319886
6,6,3,4,4,3	6,6,4,3,3,4	26	6	6	4	3	3	4	0	16496	3920	64664320	0	0	0	UNSAT	0.306540
6,7,0,6,0,7	6,7,0,6,0,7	26	6	7	0	6	0	7	0	45996	8	367968	0	0	0	UNSAT	0.012055
6,7,0,6,0,7	6,7,6,0,7,0	26	6	7	6	0	7	0	0	45996	8	367968	6	0	0	UNSAT	0.012074
6,7,0,6,1,6	6,7,1,6,0,6	26	6	7	1	6	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.015522
6,7,0,6,1,6	6,7,6,1,6,0	26	6	7	6	1	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.034807
6,7,0,6,2,5	6,7,2,5,0,6	26	6	7	2	5	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.015991
6,7,0,6,2,5	6,7,5,2,6,0	26	6	7	5	2	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.015339
6,7,0,6,3,4	6,7,3,4,0,6	26	6	7	3	4	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.015533
6,7,0,6,3,4	6,7,4,3,6,0	26	6	7	4	3	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.015926
6,7,0,7,1,5	6,7,1,5,0,7	26	6	7	1	5	0	7	0	45996	8	367968	0	0	0	UNSAT	0.034897
6,7,0,7,1,5	6,7,5,1,7,0	26	6	7	5	1	7	0	0	45996	8	367968	6	0	0	UNSAT	0.012671
6,7,0,7,2,4	6,7,2,4,0,7	26	6	7	2	4	0	7	0	45996	8	367968	0	0	0	UNSAT	0.012509
6,7,0,7,2,4	6,7,4,2,7,0	26	6	7	4	2	7	0	0	45996	8	367968	6	0	0	UNSAT	0.012491
6,7,0,7,3,3	6,7,3,3,0,7	26	6	7	3	3	0	7	0	45996	8	367968	0	0	0	UNSAT	0.020880
6,7,0,7,3,3	6,7,3,3,7,0	26	6	7	3	3	7	0	0	45996	8	367968	6	0	0	UNSAT	0.012249
