canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,1,6,3,4	6,6,4,3,6,1	26	6	6	4	3	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.037095
6,6,1,7,2,4	6,6,2,4,1,7	26	6	6	2	4	1	7	0	16496	64	1055744	0	0	0	UNSAT	0.007671
6,6,1,7,2,4	6,6,4,2,7,1	26	6	6	4	2	7	1	0	16496	64	1055744	0	0	0	UNSAT	0.007525
6,6,1,7,3,3	6,6,3,3,1,7	26	6	6	3	3	1	7	0	16496	64	1055744	0	0	0	UNSAT	0.007496
6,6,1,7,3,3	6,6,3,3,7,1	26	6	6	3	3	7	1	0	16496	64	1055744	0	0	0	UNSAT	0.007501
6,6,2,4,2,6	6,6,2,4,2,6	26	6	6	2	4	2	6	0	16496	784	12932864	0	0	0	UNSAT	0.071975
6,6,2,4,2,6	6,6,4,2,6,2	26	6	6	4	2	6	2	0	16496	784	12932864	0	0	0	UNSAT	0.051432
6,6,2,4,3,5	6,6,3,5,2,4	26	6	6	3	5	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.163195
6,6,2,4,3,5	6,6,5,3,4,2	26	6	6	5	3	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.158399
6,6,2,4,4,4	6,6,4,4,2,4	26	6	6	4	4	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.165584
6,6,2,4,4,4	6,6,4,4,4,2	26	6	6	4	4	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.166402
6,6,2,5,2,5	6,6,2,5,2,5	26	6	6	2	5	2	5	1	10132	1568	15886976	0	0	0	UNSAT	0.092572
6,6,2,5,2,5	6,6,5,2,5,2	26	6	6	5	2	5	2	1	10132	1568	15886976	0	0	0	UNSAT	0.063748
6,6,2,5,3,4	6,6,3,4,2,5	26	6	6	3	4	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.155553
6,6,2,5,3,4	6,6,4,3,5,2	26	6	6	4	3	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.151077
6,6,2,5,4,3	6,6,3,4,5,2	26	6	6	3	4	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.164499
6,6,2,5,4,3	6,6,4,3,2,5	26	6	6	4	3	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.134243
6,6,2,6,3,3	6,6,3,3,2,6	26	6	6	3	3	2	6	0	16496	784	12932864	0	0	0	UNSAT	0.070976
6,6,2,6,3,3	6,6,3,3,6,2	26	6	6	3	3	6	2	0	16496	784	12932864	0	0	0	UNSAT	0.075569
6,6,3,3,3,5	6,6,3,3,3,5	26	6	6	3	3	3	5	0	16496	3136	51731456	0	0	0	UNSAT	0.240874
6,6,3,3,3,5	6,6,3,3,5,3	26	6	6	3	3	5	3	0	16496	3136	51731456	0	0	0	UNSAT	0.260616
6,6,3,3,4,4	6,6,4,4,3,3	26	6	6	4	4	3	3	0	16496	3136	51731456	0	0	0	UNSAT	0.308769
6,6,3,4,3,4	6,6,3,4,3,4	26	6	6	3	4	3	4	1	10132	3920	39717440	0	0	0	UNSAT	0.204186
6,6,3,4,3,4	6,6,4,3,4,3	26	6	6	4	3	4	3	1	10132	3920	39717440	0	0	0	UNSAT	0.235426
6,6,3,4,4,3	6,6,3,4,4,3	26	6	6	3	4	4	3	0	16496	3920	64664320	0	0	0	UNSAT	0.352090
6,6,3,4,4,3	6,6,4,3,3,4	26	6	6	4	3	3	4	0	16496	3920	64664320	0	0	0	UNSAT	0.346942
6,7,0,6,0,7	6,7,0,6,0,7	26	6	7	0	6	0	7	0	45996	8	367968	0	0	0	UNSAT	0.034120
6,7,0,6,0,7	6,7,6,0,7,0	26	6	7	6	0	7	0	0	45996	8	367968	6	0	0	UNSAT	0.011597
6,7,0,6,1,6	6,7,1,6,0,6	26	6	7	1	6	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.014992
6,7,0,6,1,6	6,7,6,1,6,0	26	6	7	6	1	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.017491
6,7,0,6,2,5	6,7,2,5,0,6	26	6	7	2	5	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.019560
6,7,0,6,2,5	6,7,5,2,6,0	26	6	7	5	2	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.036687
6,7,0,6,3,4	6,7,3,4,0,6	26	6	7	3	4	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.016554
6,7,0,6,3,4	6,7,4,3,6,0	26	6	7	4	3	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.018871
6,7,0,7,1,5	6,7,1,5,0,7	26	6	7	1	5	0	7	0	45996	8	367968	0	0	0	UNSAT	0.012299
6,7,0,7,1,5	6,7,5,1,7,0	26	6	7	5	1	7	0	0	45996	8	367968	6	0	0	UNSAT	0.012209
6,7,0,7,2,4	6,7,2,4,0,7	26	6	7	2	4	0	7	0	45996	8	367968	0	0	0	UNSAT	0.011198
6,7,0,7,2,4	6,7,4,2,7,0	26	6	7	4	2	7	0	0	45996	8	367968	6	0	0	UNSAT	0.030691
6,7,0,7,3,3	6,7,3,3,0,7	26	6	7	3	3	0	7	0	45996	8	367968	0	0	0	UNSAT	0.012110
6,7,0,7,3,3	6,7,3,3,7,0	26	6	7	3	3	7	0	0	45996	8	367968	6	0	0	UNSAT	0.012264
